"","CB62_E8","CB62_L4i","E32C1_E8","E32C1_L4i","E32C4_E8","E32C4_L4i","E32C6_E8","E32C6_L4i","E5C3_E8","E5C3_L4i","H9_E8","H9_L4i","RUES01_E8","RUES01_L4i","RUES02_E8","RUES02_L4i"
"CYP3A51P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP3A7",6,0,2,2,10,1,0,0,0,2,1,5,0,0,11,2
"ENSG00000273407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CYP3A137P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260445",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP3A52P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GJC3",159,143,380,202,443,235,145,147,128,68,253,97,186,145,381,328
"ENSG00000280144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNTNAP2",9827,7257,34971,19868,48557,19898,10781,12513,6281,19352,48733,7718,8706,6597,35525,38137
"ENSG00000274127",1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0
"ENSG00000274118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNTNAP2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUTP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232391",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR548F4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105375556",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ENSG00000270634",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNU6-1184P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA5SP249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RN7SL456P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC124901859",1,0,9,4,12,3,6,0,0,2,0,0,1,3,0,4
"RN7SL72P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC392145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283504",2,0,11,8,11,0,0,2,0,0,10,2,0,0,17,2
"ENSG00000283648",0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ENSG00000218586",14,6,30,16,34,12,8,8,12,10,36,6,16,18,42,46
"ENSG00000280890",3,1,7,0,12,2,2,2,0,4,17,1,0,1,5,2
"LOC100130121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230564",0,0,0,0,0,0,2,2,0,2,0,0,0,0,3,0
"LOC100129276",6,2,0,4,5,3,8,2,2,0,0,4,2,0,0,8
"ENSG00000230882",146,64,283,173,496,211,208,294,172,66,376,82,183,132,691,355
