"","ph.kmeans.cluster","gene","cluster_label"
"13820",4,"SLC36A4","hESC_RNA"
"13821",4,"FAT3","hESC_RNA"
"13822",2,"MTNR1B","maternal_oocyte_RNA"
"13823",5,"DEUP1","four_cell_RNA"
"13824",4,"SMCO4","hESC_RNA"
"13825",6,"DISC1FP1","eight_cell_RNA"
"13826",3,"SYTL2","maternal_1C_2C_RNA"
"13827",6,"VSTM5","eight_cell_RNA"
"13828",5,"MED17","four_cell_RNA"
"13829",3,"HEPHL1","maternal_1C_2C_RNA"
"13830",4,"C11orf54","hESC_RNA"
"13831",6,"PANX1","eight_cell_RNA"
"13832",6,"GPR83","eight_cell_RNA"
"13833",6,"ANKRD49","eight_cell_RNA"
"13834",1,"C11orf97","ICM_RNA"
"13835",6,"IZUMO1R","eight_cell_RNA"
"13836",3,"MRE11","maternal_1C_2C_RNA"
"13837",5,"FUT4","four_cell_RNA"
"13838",1,"PIWIL4","ICM_RNA"
"13839",2,"LOC105369438","maternal_oocyte_RNA"
"13840",6,"AMOTL1","eight_cell_RNA"
"13841",6,"KDM4D","eight_cell_RNA"
"13842",5,"CWC15","four_cell_RNA"
"13843",3,"KDM4E","maternal_1C_2C_RNA"
"13844",3,"SRSF8","maternal_1C_2C_RNA"
"13845",1,"LOC101929295","ICM_RNA"
"13846",6,"ENDOD1","eight_cell_RNA"
"13847",2,"FAM76B","maternal_oocyte_RNA"
"13848",1,"CEP57","ICM_RNA"
"13849",3,"SESN3","maternal_1C_2C_RNA"
"13850",3,"LOC100129203","maternal_1C_2C_RNA"
"13851",5,"JRKL","four_cell_RNA"
"13852",1,"LOC105369443","ICM_RNA"
"13853",1,"CCDC82","ICM_RNA"
"13854",4,"MAML2","hESC_RNA"
"13855",1,"CNTN5","ICM_RNA"
"13856",3,"MTMR2","maternal_1C_2C_RNA"
"13857",4,"CFAP300","hESC_RNA"
"13858",2,"TRPC6","maternal_oocyte_RNA"
"13859",6,"CEP295","eight_cell_RNA"
"13860",5,"TAF1D","four_cell_RNA"
"13861",4,"SNORA18","hESC_RNA"
"13862",1,"SCARNA9","ICM_RNA"
"13863",2,"SNORA25","maternal_oocyte_RNA"
"13864",2,"SNORA32","maternal_oocyte_RNA"
"13865",2,"SNORD6","maternal_oocyte_RNA"
"13866",2,"SNORA1","maternal_oocyte_RNA"
"13867",2,"SNORA8","maternal_oocyte_RNA"
"13868",2,"SNORD5","maternal_oocyte_RNA"
"13869",2,"SNORA40","maternal_oocyte_RNA"
"13870",1,"ANGPTL5","ICM_RNA"
"13871",6,"CEP126","eight_cell_RNA"
"13872",5,"BIRC3","four_cell_RNA"
"13873",5,"PGR","four_cell_RNA"
"13874",3,"LOC101928424","maternal_1C_2C_RNA"
"13875",2,"ARHGAP42","maternal_oocyte_RNA"
"13876",2,"MMP7","maternal_oocyte_RNA"
"13877",3,"TMEM123","maternal_1C_2C_RNA"
"13878",1,"BIRC2","ICM_RNA"
"13879",1,"YAP1","ICM_RNA"
"13880",2,"LOC102723838","maternal_oocyte_RNA"
"13881",3,"MMP27","maternal_1C_2C_RNA"
"13882",2,"MMP13","maternal_oocyte_RNA"
"13883",5,"MMP12","four_cell_RNA"
"13884",1,"MMP8","ICM_RNA"
"13885",4,"MMP10","hESC_RNA"
